Motif,cell_ids
"['PFC', 'ORB', 'AUD', 'PTL', 'VIS', 'RSC']","[1204, 1753, 1932, 1984, 2271, 2396, 2487, 2543, 2818, 2909]"
"['PFC', 'ORB', 'ACA', 'PTL', 'VIS', 'RSC']","[329, 1115, 1178, 1191, 1452, 1511, 1671, 1690, 1898]"
"['PFC', 'SS', 'AUD', 'ACA', 'PTL', 'VIS']","[181, 516, 667, 1260, 1767, 1896, 1900, 1946, 1952, 1990, 2018, 2457, 2496, 2686, 2976]"
"['PFC', 'SS', 'AUD', 'ACA', 'VIS', 'RSC']","[111, 1095, 1882, 1905, 2329, 2343, 2597, 2964]"
"['PFC', 'SS', 'AUD', 'PTL', 'VIS', 'RSC']","[214, 242, 408, 409, 520, 728, 761, 923, 1089, 1137, 1243, 1444, 1856, 1857, 1891, 2072, 2171, 2175, 2230, 2279, 2300, 2397, 2419, 2428, 2564, 2582, 2594, 2886, 2922, 2989]"
"['PFC', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']","[23, 783, 818, 841, 1464, 1879, 2111, 2213, 2355, 2828, 2926]"
"['PFC', 'AUD', 'ACA', 'PTL', 'VIS', 'RSC']","[115, 374, 404, 914, 1608, 1867, 2221]"
"['ORB', 'SS', 'AUD', 'ACA', 'PTL', 'VIS']","[548, 917, 1446, 1641, 1863, 1908, 2236, 2438, 2797]"
"['ORB', 'SS', 'AUD', 'ACA', 'PTL', 'RSC']",[85]
"['ORB', 'SS', 'AUD', 'ACA', 'VIS', 'RSC']","[806, 880, 1094, 2738, 2995]"
